width,height,area
970,697,676090
900,675,607500
577,433,249841
550,512,281600
1024,682,698368
835,557,465095
676,1049,709124
900,596,536400
960,540,518400
640,360,230400
1024,683,699392
720,403,290160
1024,698,714752
1000,665,665000
1024,678,694272
728,672,489216
570,380,216600
1024,576,589824
640,480,307200
1023,702,718146
640,360,230400
480,321,154080
889,720,640080
450,299,134550
700,559,391300
640,427,273280
461,313,144293
500,375,187500
500,650,325000
640,427,273280
451,450,202950
640,480,307200
500,333,166500
636,358,227688
400,300,120000
750,620,465000
604,454,274216
550,412,226600
632,422,266704
800,533,426400
375,500,187500
728,484,352352
900,755,679500
873,578,504594
750,500,375000
700,461,322700
299,470,140530
1023,685,700755
750,600,450000
348,348,121104
900,675,607500
627,480,300960
500,700,350000
512,384,196608
900,719,647100
500,334,167000
600,387,232200
605,454,274670
638,480,306240
1024,683,699392
1024,682,698368
800,533,426400
600,338,202800
800,533,426400
960,698,670080
638,800,510400
849,565,479685
840,473,397320
610,750,457500
634,644,408296
568,293,166424
640,640,409600
600,430,258000
900,792,712800
1000,750,750000
1200,630,756000
1120,700,784000
1100,618,679800
600,400,240000
450,300,135000
640,594,380160
500,375,187500
600,401,240600
377,564,212628
612,408,249696
1024,677,693248
650,488,317200
404,404,163216
600,396,237600
768,511,392448
728,546,397488
600,400,240000
1000,667,667000
800,450,360000
640,641,410240
1000,563,563000
725,783,567675
850,290,246500
634,472,299248
640,477,305280
500,314,157000
645,641,413445
678,864,585792
960,720,691200
800,533,426400
413,550,227150
748,499,373252
500,344,172000
1024,683,699392
800,558,446400
700,467,326900
600,470,282000
496,330,163680
450,398,179100
900,599,539100
634,807,511638
480,360,172800
1024,683,699392
450,300,135000
1200,630,756000
534,800,427200
1024,680,696320
494,742,366548
1024,684,700416
466,700,326200
800,528,422400
550,412,226600
612,408,249696
1024,683,699392
480,360,172800
1024,608,622592
1049,698,732202
1000,664,664000
500,333,166500
960,540,518400
682,1024,698368
562,620,348440
1024,576,589824
640,444,284160
500,750,375000
450,300,135000
1028,700,719600
700,361,252700
1024,540,552960
910,682,620620
450,298,134100
900,727,654300
970,400,388000
1024,682,698368
600,400,240000
900,586,527400
800,533,426400
600,437,262200
430,286,122980
1080,699,754920
453,453,205209
800,600,480000
900,602,541800
500,500,250000
960,640,614400
403,300,120900
600,450,270000
960,666,639360
453,340,154020
880,587,516560
800,533,426400
500,500,250000
612,344,210528
1263,560,707280
608,342,207936
900,600,540000
640,640,409600
1049,696,730104
550,413,227150
1024,641,656384
900,600,540000
1000,584,584000
901,721,649621
985,700,689500
757,500,378500
478,600,286800
800,533,426400
500,356,178000
800,536,428800
800,533,426400
584,878,512752
700,457,319900
500,333,166500
800,506,404800
550,412,226600
1024,683,699392
640,640,409600
800,533,426400
835,556,464260
605,605,366025
900,598,538200
800,600,480000
1200,630,756000
300,450,135000
894,768,686592
634,475,301150
600,400,240000
667,465,310155
450,666,299700
1024,682,698368
900,619,557100
570,675,384750
640,503,321920
565,695,392675
838,559,468442
443,295,130685
848,476,403648
550,367,201850
1050,694,728700
650,433,281450
848,476,403648
500,375,187500
1024,576,589824
535,800,428000
800,518,414400
512,385,197120
1024,683,699392
299,470,140530
1024,683,699392
902,507,457314
1200,544,652800
450,318,143100
800,498,398400
480,360,172800
1024,682,698368
800,600,480000
640,420,268800
900,600,540000
1023,638,652674
910,606,551460
500,351,175500
921,609,560889
668,446,297928
800,530,424000
964,641,617924
720,720,518400
1024,706,722944
474,474,224676
612,608,372096
638,453,289014
361,512,184832
728,487,354536
1000,667,667000
750,563,422250
820,490,401800
590,350,206500
1000,701,701000
333,499,166167
1200,641,769200
989,742,733838
608,342,207936
440,292,128480
1024,714,731136
640,360,230400
880,587,516560
625,310,193750
700,469,328300
880,585,514800
500,750,375000
600,450,270000
635,423,268605
500,375,187500
640,640,409600
1024,683,699392
900,600,540000
524,292,153008
600,839,503400
900,675,607500
551,550,303050
634,845,535730
640,482,308480
600,300,180000
900,600,540000
640,480,307200
454,453,205662
800,579,463200
964,543,523452
640,426,272640
495,297,147015
1100,709,779900
650,488,317200
698,269,187762
512,323,165376
640,360,230400
600,338,202800
500,334,167000
500,280,140000
770,512,394240
825,510,420750
480,360,172800
700,525,367500
550,412,226600
1023,768,785664
910,683,621530
700,467,326900
1023,678,693594
640,420,268800
720,480,345600
700,539,377300
465,738,343170
1024,701,717824
1054,686,723044
654,900,588600
634,422,267548
532,799,425068
612,408,249696
500,448,224000
373,560,208880
500,300,150000
497,1024,508928
449,620,278380
640,640,409600
800,600,480000
1024,680,696320
500,383,191500
1024,725,742400
575,380,218500
910,607,552370
800,534,427200
962,722,694564
1024,707,723968
640,355,227200
450,300,135000
800,533,426400
640,360,230400
681,1023,696663
850,682,579700
600,450,270000
560,374,209440
800,532,425600
600,400,240000
608,342,207936
938,168,157584
500,357,178500
1024,766,784384
800,535,428000
640,420,268800
768,933,716544
500,334,167000
1000,667,667000
960,640,614400
800,600,480000
800,530,424000
500,432,216000
617,866,534322
650,473,307450
450,300,135000
665,460,305900
450,300,135000
520,396,205920
960,640,614400
600,398,238800
675,900,607500
1024,576,589824
560,373,208880
580,773,448340
638,479,305602
1000,666,666000
480,320,153600
700,467,326900
800,600,480000
608,342,207936
750,562,421500
400,400,160000
450,300,135000
700,525,367500
400,519,207600
650,425,276250
858,536,459888
600,450,270000
550,369,202950
517,560,289520
962,641,616642
720,540,388800
550,826,454300
480,640,307200
650,403,261950
610,578,352580
750,422,316500
480,480,230400
800,456,364800
900,600,540000
349,586,204514
608,342,207936
678,734,497652
341,508,173228
800,681,544800
354,268,94872
500,408,204000
885,590,522150
768,487,374016
480,360,172800
800,535,428000
500,375,187500
400,300,120000
454,456,207024
962,630,606060
744,496,369024
450,300,135000
640,427,273280
550,413,227150
800,497,397600
450,315,141750
760,506,384560
721,481,346801
640,640,409600
1000,666,666000
728,485,353080
480,270,129600
1024,683,699392
880,587,516560
640,480,307200
910,607,552370
474,316,149784
480,270,129600
800,533,426400
800,581,464800
852,548,466896
1000,667,667000
273,450,122850
640,427,273280
480,360,172800
1023,768,785664
640,426,272640
612,406,248472
880,593,521840
900,864,777600
700,368,257600
600,400,240000
800,640,512000
407,612,249084
300,450,135000
346,520,179920
615,480,295200
900,600,540000
608,342,207936
506,385,194810
646,437,282302
450,450,202500
450,289,130050
600,900,540000
800,533,426400
1024,748,765952
675,900,607500
900,615,553500
450,337,151650
900,600,540000
544,768,417792
560,521,291760
1000,750,750000
768,512,393216
964,703,677692
800,600,480000
680,453,308040
900,600,540000
600,434,260400
612,408,249696
669,377,252213
728,483,351624
500,334,167000
480,270,129600
400,300,120000
640,640,409600
640,618,395520
800,501,400800
1024,683,699392
500,500,250000
1049,696,730104
683,1024,699392
706,900,635400
550,309,169950
1024,683,699392
929,605,562045
1200,628,753600
700,466,326200
500,375,187500
550,412,226600
600,424,254400
510,340,173400
450,300,135000
750,500,375000
700,400,280000
600,750,450000
800,800,640000
640,420,268800
1000,671,671000
480,360,172800
800,534,427200
480,360,172800
460,307,141220
900,599,539100
683,1024,699392
640,425,272000
608,342,207936
700,456,319200
962,642,617604
650,426,276900
594,900,534600
1280,960,1228800
1024,683,699392
500,335,167500
750,497,372750
667,1000,667000
1000,664,664000
925,612,566100
640,360,230400
900,600,540000
860,641,551260
450,338,152100
669,344,230136
962,620,596440
753,435,327555
526,936,492336
638,480,306240
800,600,480000
990,743,735570
500,375,187500
800,588,470400
640,853,545920
640,406,259840
1024,576,589824
398,600,238800
640,480,307200
500,700,350000
600,398,238800
650,366,237900
800,533,426400
640,853,545920
640,480,307200
900,517,465300
550,366,201300
800,530,424000
500,334,167000
1160,599,694840
902,614,553828
960,540,518400
640,420,268800
1000,683,683000
348,480,167040
584,389,227176
800,600,480000
460,307,141220
300,450,135000
962,564,542568
800,533,426400
800,533,426400
640,480,307200
640,480,307200
800,533,426400
450,450,202500
900,597,537300
858,536,459888
1024,682,698368
900,596,536400
467,292,136364
728,546,397488
900,676,608400
600,450,270000
768,794,609792
800,518,414400
600,401,240600
1024,683,699392
640,401,256640
851,640,544640
599,900,539100
811,648,525528
640,407,260480
1024,680,696320
1000,584,584000
501,473,236973
454,700,317800
1200,628,753600
612,485,296820
460,307,141220
880,587,516560
1024,683,699392
900,707,636300
800,533,426400
1024,683,699392
480,270,129600
950,634,602300
612,406,248472
448,298,133504
800,533,426400
800,422,337600
480,360,172800
678,427,289506
450,300,135000
962,641,616642
600,398,238800
1055,712,751160
600,315,189000
700,466,326200
800,533,426400
759,759,576081
962,629,605098
634,851,539534
675,900,607500
753,485,365205
600,600,360000
1024,684,700416
321,401,128721
500,362,181000
1024,482,493568
667,500,333500
962,533,512746
516,403,207948
553,311,171983
608,342,207936
450,300,135000
639,451,288189
650,650,422500
700,881,616700
1024,641,656384
1024,683,699392
350,547,191450
730,973,710290
450,298,134100
450,300,135000
826,799,659974
640,426,272640
1024,683,699392
800,545,436000
800,533,426400
600,338,202800
640,640,409600
635,476,302260
1100,619,680900
1000,665,665000
800,533,426400
1024,761,779264
580,547,317260
512,341,174592
800,849,679200
640,426,272640
960,640,614400
600,450,270000
750,563,422250
760,427,324520
650,366,237900
450,298,134100
561,471,264231
510,340,173400
300,450,135000
640,480,307200
1023,682,697686
620,415,257300
1024,576,589824
683,1024,699392
600,900,540000
974,650,633100
530,351,186030
640,420,268800
590,380,224200
600,450,270000
450,450,202500
700,466,326200
620,405,251100
910,605,550550
600,397,238200
567,321,182007
634,357,226338
450,450,202500
800,600,480000
700,400,280000
900,589,530100
1049,699,733251
700,550,385000
1024,683,699392
450,329,148050
1024,683,699392
750,1000,750000
910,683,621530
800,600,480000
1000,667,667000
596,380,226480
900,649,584100
643,641,412163
480,402,192960
800,532,425600
960,708,679680
640,480,307200
640,360,230400
749,499,373751
620,620,384400
445,299,133055
900,521,468900
914,514,469796
880,586,515680
760,506,384560
721,578,416738
467,350,163450
800,548,438400
800,533,426400
640,1138,728320
994,778,773332
700,400,280000
642,800,513600
600,430,258000
900,669,602100
768,496,380928
500,287,143500
519,428,222132
450,320,144000
450,299,134550
334,500,167000
701,900,630900
900,660,594000
500,333,166500
534,401,214134
1024,711,728064
425,286,121550
840,473,397320
720,671,483120
480,360,172800
800,516,412800
910,608,553280
800,534,427200
480,360,172800
1024,512,524288
640,640,409600
370,370,136900
739,463,342157
640,640,409600
1000,667,667000
835,559,466765
450,450,202500
450,338,152100
900,599,539100
1049,699,733251
512,277,141824
800,498,398400
960,720,691200
600,800,480000
509,339,172551
800,533,426400
500,375,187500
1024,683,699392
800,600,480000
888,666,591408
700,394,275800
480,360,172800
650,452,293800
638,479,305602
1024,743,760832
500,375,187500
600,402,241200
989,742,733838
1080,720,777600
560,420,235200
900,600,540000
900,600,540000
650,425,276250
1000,603,603000
852,480,408960
880,587,516560
753,600,451800
700,467,326900
512,341,174592
720,692,498240
683,1024,699392
750,563,422250
800,414,331200
800,598,478400
520,346,179920
480,270,129600
600,338,202800
480,310,148800
467,700,326900
910,606,551460
1200,602,722400
1200,609,730800
616,409,251944
1023,682,697686
635,443,281305
600,450,270000
450,450,202500
887,595,527765
1023,541,553443
900,560,504000
551,368,202768
400,314,125600
1023,682,697686
1200,600,720000
800,600,480000
450,300,135000
568,351,199368
453,453,205209
600,400,240000
640,480,307200
646,470,303620
390,340,132600
600,420,252000
540,354,191160
799,599,478601
650,425,276250
640,640,409600
480,360,172800
650,433,281450
1000,667,667000
450,450,202500
412,620,255440
720,540,388800
800,600,480000
541,406,219646
700,467,326900
1024,540,552960
900,540,486000
512,342,175104
640,480,307200
268,552,147936
480,270,129600
835,557,465095
550,412,226600
900,476,428400
550,412,226600
852,480,408960
688,1024,704512
1008,756,762048
800,450,360000
768,512,393216
602,725,436450
885,590,522150
620,720,446400
1024,707,723968
1024,683,699392
650,427,277550
603,401,241803
480,360,172800
640,360,230400
1000,779,779000
960,635,609600
640,427,273280
840,524,440160
408,612,249696
584,462,269808
641,640,410240
443,533,236119
800,600,480000
800,600,480000
700,466,326200
480,360,172800
915,610,558150
325,488,158600
480,360,172800
700,466,326200
1023,641,655743
323,450,145350
800,600,480000
700,394,275800
630,354,223020
600,450,270000
1024,682,698368
590,332,195880
1024,680,696320
700,420,294000
1000,759,759000
1023,682,697686
700,478,334600
825,549,452925
450,300,135000
600,401,240600
600,600,360000
600,454,272400
470,450,211500
1024,684,700416
480,360,172800
800,568,454400
910,606,551460
700,467,326900
720,558,401760
880,660,580800
640,910,582400
800,600,480000
700,452,316400
900,604,543600
600,251,150600
640,480,307200
960,640,614400
640,360,230400
651,990,644490
800,600,480000
1024,617,631808
512,343,175616
750,422,316500
612,612,374544
800,533,426400
960,540,518400
638,953,608014
550,433,238150
900,599,539100
800,533,426400
980,510,499800
1024,672,688128
1023,682,697686
1000,666,666000
618,419,258942
638,425,271150
590,393,231870
910,682,620620
980,656,642880
590,414,244260
532,800,425600
460,345,158700
620,330,204600
468,700,327600
534,401,214134
480,360,172800
800,599,479200
460,345,158700
960,637,611520
700,454,317800
800,498,398400
640,420,268800
900,600,540000
900,598,538200
512,496,253952
750,1000,750000
1120,630,705600
870,639,555930
650,425,276250
640,426,272640
1600,450,720000
964,640,616960
700,468,327600
608,342,207936
550,367,201850
504,630,317520
450,300,135000
720,405,291600
640,640,409600
1072,715,766480
450,300,135000
480,640,307200
632,322,203504
910,683,621530
1024,683,699392
900,675,607500
900,674,606600
800,600,480000
608,342,207936
550,393,216150
500,375,187500
850,566,481100
800,449,359200
480,348,167040
891,593,528363
800,533,426400
634,358,226972
440,294,129360
1024,683,699392
700,394,275800
640,480,307200
900,581,522900
800,651,520800
848,636,539328
1024,576,589824
640,360,230400
608,342,207936
1024,682,698368
1000,655,655000
450,300,135000
720,960,691200
605,454,274670
900,616,554400
290,434,125860
650,424,275600
467,700,326900
910,579,526890
740,492,364080
980,500,490000
455,453,206115
550,550,302500
640,853,545920
450,327,147150
474,592,280608
500,334,167000
700,525,367500
500,375,187500
1280,548,701440
900,438,394200
629,480,301920
424,359,152216
1024,576,589824
502,378,189756
800,480,384000
900,594,534600
800,600,480000
608,342,207936
400,300,120000
800,600,480000
768,576,442368
500,358,179000
416,622,258752
480,360,172800
640,480,307200
400,600,240000
1024,681,697344
512,340,174080
900,675,607500
599,405,242595
750,791,593250
760,506,384560
640,360,230400
400,600,240000
1024,683,699392
610,406,247660
480,360,172800
1024,732,749568
608,342,207936
300,400,120000
500,333,166500
450,337,151650
960,640,614400
1024,680,696320
640,360,230400
601,900,540900
900,600,540000
900,615,553500
640,480,307200
600,420,252000
835,555,463425
600,400,240000
640,427,273280
735,552,405720
640,368,235520
500,349,174500
480,320,153600
800,600,480000
1049,695,729055
1000,652,652000
1200,630,756000
650,433,281450
450,320,144000
760,506,384560
480,360,172800
533,800,426400
600,600,360000
1024,576,589824
910,607,552370
900,675,607500
640,513,328320
1024,720,737280
660,960,633600
427,640,273280
665,498,331170
1024,683,699392
500,375,187500
400,320,128000
800,533,426400
733,500,366500
700,382,267400
1000,667,667000
1024,683,699392
1024,680,696320
500,500,250000
720,405,291600
400,300,120000
800,600,480000
650,366,237900
700,465,325500
900,600,540000
480,270,129600
720,720,518400
1024,750,768000
480,360,172800
912,797,726864
1100,555,610500
576,384,221184
800,600,480000
608,342,207936
775,515,399125
910,607,552370
960,719,690240
333,500,166500
600,420,252000
400,300,120000
599,399,239001
1000,562,562000
512,343,175616
750,944,708000
400,300,120000
925,660,610500
482,305,147010
600,338,202800
829,500,414500
534,800,427200
720,540,388800
480,645,309600
900,813,731700
612,612,374544
640,427,273280
590,393,231870
1024,684,700416
600,400,240000
600,350,210000
553,415,229495
1000,523,523000
480,360,172800
450,300,135000
1024,684,700416
640,429,274560
605,465,281325
640,420,268800
702,370,259740
900,675,607500
1023,682,697686
520,293,152360
750,750,562500
425,425,180625
640,420,268800
800,800,640000
602,401,241402
459,600,275400
480,360,172800
820,547,448540
500,334,167000
400,500,200000
800,450,360000
720,585,421200
599,400,239600
512,363,185856
550,408,224400
428,640,273920
560,417,233520
500,750,375000
1024,683,699392
780,469,365820
593,900,533700
800,480,384000
999,749,748251
900,675,607500
700,304,212800
644,423,272412
450,299,134550
560,560,313600
450,338,152100
500,375,187500
480,320,153600
900,540,486000
800,533,426400
675,900,607500
1024,683,699392
650,400,260000
600,351,210600
700,525,367500
800,533,426400
1000,764,764000
500,533,266500
634,393,249162
660,510,336600
650,492,319800
640,360,230400
800,600,480000
540,315,170100
480,361,173280
400,500,200000
604,403,243412
800,533,426400
851,593,504643
600,400,240000
800,533,426400
999,768,767232
436,640,279040
728,455,331240
500,370,185000
1024,683,699392
470,704,330880
600,450,270000
700,467,326900
700,496,347200
640,420,268800
605,312,188760
800,600,480000
880,587,516560
1200,630,756000
580,434,251720
800,600,480000
875,583,510125
960,540,518400
600,900,540000
680,383,260440
700,465,325500
450,300,135000
500,332,166000
900,600,540000
500,368,184000
450,300,135000
512,306,156672
640,451,288640
640,420,268800
522,348,181656
640,480,307200
750,500,375000
1072,715,766480
500,333,166500
728,455,331240
960,720,691200
500,333,166500
640,642,410880
750,600,450000
750,500,375000
1024,512,524288
720,860,619200
760,506,384560
960,644,618240
650,435,282750
300,450,135000
1000,568,568000
800,849,679200
800,600,480000
400,600,240000
394,600,236400
590,388,228920
640,640,409600
800,533,426400
480,360,172800
720,960,691200
1023,768,785664
900,675,607500
634,336,213024
376,376,141376
600,400,240000
885,432,382320
618,360,222480
640,557,356480
700,499,349300
1024,600,614400
450,299,134550
400,355,142000
804,536,430944
606,249,150894
450,299,134550
728,657,478296
499,332,165668
536,498,266928
400,533,213200
600,338,202800
961,705,677505
800,577,461600
900,600,540000
683,1024,699392
1100,618,679800
640,360,230400
400,300,120000
1000,563,563000
550,413,227150
1024,640,655360
964,614,591896
600,400,240000
1024,553,566272
496,331,164176
535,340,181900
535,337,180295
650,650,422500
600,800,480000
575,863,496225
533,800,426400
608,900,547200
544,800,435200
720,664,478080
580,428,248240
640,569,364160
640,480,307200
700,464,324800
640,427,273280
453,454,205662
685,513,351405
500,375,187500
470,697,327590
1000,665,665000
836,552,461472
1100,633,696300
840,840,705600
667,500,333500
900,596,536400
900,675,607500
900,672,604800
728,546,397488
900,707,636300
640,453,289920
454,454,206116
600,450,270000
750,533,399750
500,334,167000
625,417,260625
640,427,273280
479,720,344880
650,477,310050
640,360,230400
640,480,307200
1024,667,683008
640,360,230400
710,480,340800
800,535,428000
425,283,120275
800,533,426400
800,515,412000
640,376,240640
667,376,250792
800,480,384000
664,440,292160
496,704,349184
1072,603,646416
800,450,360000
450,450,202500
800,497,397600
800,600,480000
1024,684,700416
900,581,522900
500,375,187500
770,513,395010
612,408,249696
800,600,480000
435,580,252300
905,604,546620
727,477,346779
1024,683,699392
540,405,218700
600,400,240000
450,300,135000
1024,576,589824
640,427,273280
525,351,184275
660,393,259380
800,533,426400
800,531,424800
1024,530,542720
768,574,440832
800,786,628800
1088,544,591872
700,466,326200
667,1000,667000
774,774,599076
1049,677,710173
1023,682,697686
337,418,140866
755,366,276330
640,426,272640
560,412,230720
625,417,260625
794,528,419232
680,1024,696320
640,360,230400
599,900,539100
1000,664,664000
668,446,297928
300,450,135000
1200,630,756000
512,288,147456
640,480,307200
500,376,188000
560,426,238560
1024,683,699392
608,810,492480
500,333,166500
600,430,258000
684,600,410400
480,360,172800
800,533,426400
800,534,427200
900,600,540000
968,648,627264
1023,682,697686
800,565,452000
800,532,425600
590,350,206500
509,280,142520
1024,683,699392
600,446,267600
480,360,172800
520,390,202800
600,450,270000
780,520,405600
960,540,518400
1024,540,552960
1120,700,784000
800,600,480000
900,675,607500
910,607,552370
852,480,408960
626,420,262920
640,853,545920
480,270,129600
1024,681,697344
800,534,427200
1024,680,696320
900,675,607500
505,619,312595
820,488,400160
600,350,210000
700,466,326200
682,681,464442
560,386,216160
1024,683,699392
800,533,426400
420,580,243600
638,480,306240
455,455,207025
972,510,495720
1024,576,589824
500,312,156000
800,480,384000
450,450,202500
1024,683,699392
800,550,440000
800,599,479200
1000,667,667000
543,383,207969
480,360,172800
450,450,202500
640,420,268800
640,360,230400
960,717,688320
625,351,219375
600,400,240000
640,312,199680
512,384,196608
612,406,248472
640,853,545920
964,581,560084
1023,682,697686
490,363,177870
500,500,250000
960,616,591360
1000,667,667000
800,553,442400
500,334,167000
1023,685,700755
960,819,786240
650,435,282750
531,800,424800
1024,560,573440
685,1023,700755
1024,678,694272
634,429,271986
688,681,468528
640,480,307200
800,495,396000
853,480,409440
600,400,240000
600,308,184800
1023,682,697686
478,359,171602
640,853,545920
800,449,359200
520,371,192920
852,480,408960
1023,692,707916
800,533,426400
650,388,252200
910,606,551460
458,640,293120
753,600,451800
540,298,160920
800,533,426400
450,300,135000
600,450,270000
576,382,220032
900,673,605700
728,492,358176
1000,666,666000
350,384,134400
450,311,139950
512,288,147456
800,450,360000
400,620,248000
800,600,480000
400,301,120400
400,600,240000
464,616,285824
500,253,126500
299,470,140530
400,300,120000
400,300,120000
1024,683,699392
600,400,240000
800,617,493600
800,533,426400
700,469,328300
640,800,512000
700,467,326900
853,480,409440
910,683,621530
910,606,551460
900,807,726300
785,637,500045
800,533,426400
750,500,375000
1024,683,699392
900,598,538200
720,540,388800
900,524,471600
720,480,345600
600,450,270000
1024,683,699392
480,360,172800
800,603,482400
682,1023,697686
716,450,322200
800,600,480000
1024,683,699392
800,533,426400
1082,718,776876
800,533,426400
650,452,293800
800,534,427200
950,534,507300
1000,755,755000
1024,683,699392
455,646,293930
640,262,167680
581,388,225428
615,410,252150
451,620,279620
533,849,452517
480,270,129600
800,600,480000
712,600,427200
400,517,206800
512,342,175104
512,377,193024
1170,610,713700
1024,679,695296
1000,667,667000
800,533,426400
1024,683,699392
900,660,594000
776,517,401192
626,417,261042
489,364,177996
650,975,633750
640,360,230400
1008,608,612864
1024,512,524288
374,560,209440
600,400,240000
1024,683,699392
697,1050,731850
625,352,220000
480,360,172800
600,401,240600
480,320,153600
800,849,679200
1024,683,699392
640,480,307200
900,675,607500
600,315,189000
1024,680,696320
640,360,230400
460,305,140300
730,1072,782560
800,533,426400
450,300,135000
1000,630,630000
700,467,326900
1200,627,752400
479,359,171961
500,257,128500
600,421,252600
1025,579,593475
800,532,425600
962,640,615680
986,554,546244
736,981,722016
1000,664,664000
640,480,307200
1071,690,738990
1024,683,699392
700,445,311500
800,533,426400
653,470,306910
440,316,139040
550,413,227150
480,360,172800
960,447,429120
800,533,426400
1024,683,699392
600,400,240000
560,373,208880
1047,700,732900
900,600,540000
700,465,325500
600,450,270000
301,450,135450
750,620,465000
960,633,607680
753,600,451800
1024,683,699392
600,449,269400
1000,667,667000
682,1023,697686
600,399,239400
900,600,540000
852,480,408960
1100,619,680900
1024,576,589824
455,454,206570
425,283,120275
1000,664,664000
400,400,160000
642,361,231762
800,533,426400
908,405,367740
900,526,473400
560,560,313600
960,720,691200
700,435,304500
560,373,208880
640,360,230400
1030,644,663320
500,331,165500
1008,768,774144
600,400,240000
1200,630,756000
800,550,440000
580,435,252300
900,599,539100
800,533,426400
720,404,290880
640,420,268800
430,639,274770
900,599,539100
880,778,684640
950,400,380000
480,360,172800
1023,681,696663
852,480,408960
800,600,480000
615,410,252150
600,465,279000
634,774,490716
600,450,270000
960,720,691200
704,396,278784
512,342,175104
640,800,512000
470,697,327590
686,1024,702464
830,400,332000
1024,683,699392
1023,682,697686
865,452,390980
753,600,451800
800,520,416000
700,700,490000
500,426,213000
1024,683,699392
1024,682,698368
620,465,288300
640,360,230400
405,403,163215
640,360,230400
500,329,164500
640,960,614400
299,450,134550
650,979,636350
